File path                                          | mode  | owner      | group     
/var/log/datadog/process-agent.log                 | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/eks_fargate.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kubelet.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_base_cisco.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/isilon.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/var/log/datadog/agent.log.3                       | -rw-r--r-- | dd-agent   | dd-agent  
/var/log                                           | drwxrwxr-x | root       | syslog    
/etc/datadog-agent/conf.d/confluent_platform.d/metrics.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/file_handle.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_cisco-catalyst.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-if.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-router-ip.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/containerd.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_cisco-generic.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-nexus.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/juniper-ex.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/juniper-mx.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/auth_token                      | -rw------- | dd-agent   | dd-agent  
/                                                  | drwxr-xr-x | root       | root      
/etc/datadog-agent/conf.d/kube_dns.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-bgp4.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-dcu.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-router-bgp4.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/hpe-proliant.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/cpu.d/conf.yaml.default  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/ntp.d/conf.yaml.default  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/presto.d/metrics.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/arista.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco_isr_4431.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/cassandra.d/metrics.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kube_scheduler.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent                                 | drwxr-xr-x | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/coredns.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/redisdb.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-ospf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/etcd.d/auto_conf.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kafka.d/metrics.yaml     | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kubernetes_state.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/hivemq.d/metrics.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/mcache.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-udp.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/elastic.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/memory.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-router-if.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-firewall.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-3850.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_base_cisco_voice.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/checkpoint-firewall.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/idrac.yaml | -rw-r--r-- | dd-agent   | dd-agent  
