,src_metric,scope,host,time,raw_value
108,system.cpu.idle,*,*,1616661000000,99.85473182761515
109,system.cpu.idle,*,*,1616661600000,99.86122051889124
110,system.cpu.idle,*,*,1616662200000,99.85599479259596
111,system.cpu.idle,*,*,1616662800000,99.81838681911931
112,system.cpu.idle,*,*,1616663400000,99.83568673305614
113,system.cpu.idle,*,*,1616664000000,99.84785198190137
114,system.cpu.idle,*,*,1616664600000,99.85078305364642
115,system.cpu.idle,*,*,1616665200000,99.78275019492791
116,system.cpu.idle,*,*,1616665800000,99.69150755131314
117,system.cpu.idle,*,*,1616666400000,98.40646011387902
118,system.cpu.idle,*,*,1616667000000,99.60169626330145
119,system.cpu.idle,*,*,1616667600000,99.69951606150521
120,system.cpu.idle,*,*,1616668200000,99.72276102234034
121,system.cpu.idle,*,*,1616668800000,99.48044894448904
122,system.cpu.idle,*,*,1616669400000,99.63447328269487
123,system.cpu.idle,*,*,1616670000000,98.68685222815496
124,system.cpu.idle,*,*,1616670600000,94.00856493413428
125,system.cpu.idle,*,*,1616671200000,93.98554329126577
126,system.cpu.idle,*,*,1616671800000,94.39944604237874
127,system.cpu.idle,*,*,1616672400000,94.70363121032715
128,system.cpu.idle,*,*,1616673000000,95.68835131327312
129,system.cpu.idle,*,*,1616673600000,95.97886803944905
130,system.cpu.idle,*,*,1616674200000,91.13076623280843
131,system.cpu.idle,*,*,1616674800000,90.84941679636637
132,system.cpu.idle,*,*,1616675400000,89.97689177195231
133,system.cpu.idle,*,*,1616676000000,91.03329105377198
134,system.cpu.idle,*,*,1616676600000,91.31850840250651
135,system.cpu.idle,*,*,1616677200000,90.58460903167725
136,system.cpu.idle,*,*,1616677800000,89.83486887613932
137,system.cpu.idle,*,*,1616678400000,91.94346446990967
138,system.cpu.idle,*,*,1616679000000,93.27085348765056
139,system.cpu.idle,*,*,1616679600000,94.18123970031738
140,system.cpu.idle,*,*,1616680200000,91.78424943288168
141,system.cpu.idle,*,*,1616680800000,90.94302527109782
142,system.cpu.idle,*,*,1616681400000,90.15023899078369
143,system.cpu.idle,*,*,1616682000000,91.55806992848714
144,system.cpu.idle,*,*,1616682600000,95.45003655751546
145,system.cpu.idle,*,*,1616683200000,94.77791010538736
146,system.cpu.idle,*,*,1616683800000,95.83513412475585
147,system.cpu.idle,*,*,1616684400000,92.56498692830404
148,system.cpu.idle,*,*,1616685000000,90.7741579691569
149,system.cpu.idle,*,*,1616685600000,92.3195177078247
150,system.cpu.idle,*,*,1616686200000,94.91602249145508
151,system.cpu.idle,*,*,1616686800000,93.9541535059611
152,system.cpu.idle,*,*,1616687400000,90.69386126200358
153,system.cpu.idle,*,*,1616688000000,89.31527976989746
154,system.cpu.idle,*,*,1616688600000,90.9218973795573
155,system.cpu.idle,*,*,1616689200000,91.19991461435954
156,system.cpu.idle,*,*,1616689800000,91.4115571975708
